product_name,brand,product_type,texture_type,hex_color,shade_name
Juicy Lasting Tint 25,Romand,lipstick,Juicy Tint,#B75B5B,Bare Grape
Juicy Lasting Tint 06,Romand,lipstick,Juicy Tint,#B85252,Figfig
Juicy Lasting Tint 19,Romand,lipstick,Juicy Tint,#C86B5A,Almond Rose
Juicy Lasting Tint 22,Romand,lipstick,Juicy Tint,#C67462,Pomelo Skin
Juicy Lasting Tint 23,Romand,lipstick,Juicy Tint,#B35A4B,Nucadamia
Juicy Lasting Tint 13,Romand,lipstick,Juicy Tint,#A8483B,Eat Dotori
Glasting Melting Balm 06,Romand,lipstick,Dewy Balm,#B96265,Kaya Fig
Glasting Melting Balm 07,Romand,lipstick,Dewy Balm,#A25254,Mauve Whip
Glasting Melting Balm 01,Romand,lipstick,Dewy Balm,#D87A6E,Coco Nude
Glasting Melting Balm 05,Romand,lipstick,Dewy Balm,#C55C5D,Nougat Sand
Blur Fudge Tint 01,Romand,lipstick,Lip Clay / Mud,#C75A5A,Pomeloco
Blur Fudge Tint 02,Romand,lipstick,Lip Clay / Mud,#B5484D,Rosiental
Blur Fudge Tint 03,Romand,lipstick,Lip Clay / Mud,#9E3E43,Musky
Blur Fudge Tint 04,Romand,lipstick,Lip Clay / Mud,#B8424E,Radwood
Blur Fudge Tint 09,Romand,lipstick,Lip Clay / Mud,#B25B6C,Coral Jubilee
Blur Water Tint,3CE,lipstick,Water Stain,#B95E5E,Casual Affair
Blur Water Tint,3CE,lipstick,Water Stain,#A54649,Sepia
Blur Water Tint,3CE,lipstick,Water Stain,#BA626B,Laydown
Blur Water Tint,3CE,lipstick,Water Stain,#C46B60,Breeze
Blur Water Tint,3CE,lipstick,Water Stain,#B14C56,Double Wind
Hazy Lip Clay,3CE,lipstick,Lip Clay / Mud,#B3524F,Butter Beige
Hazy Lip Clay,3CE,lipstick,Lip Clay / Mud,#A64448,Cherry Fluff
Hazy Lip Clay,3CE,lipstick,Lip Clay / Mud,#983B3F,Warm Brownie
Velvet Lip Tint,3CE,lipstick,Powder Matte,#B65B54,Daffodil
Velvet Lip Tint,3CE,lipstick,Powder Matte,#A74A45,Taupe
Velvet Lip Tint,3CE,lipstick,Powder Matte,#C26D60,Going Right
Ink Mood Glowy Tint 03,Peripera,lipstick,Juicy Tint,#C96D74,Rose In Mind
Ink Mood Glowy Tint 11,Peripera,lipstick,Juicy Tint,#B85960,Brown Heaven
Ink Mood Glowy Tint 18,Peripera,lipstick,Juicy Tint,#C2695D,Nude Area
Ink Velvet 17,Peripera,lipstick,Powder Matte,#C15C52,Rosy Nude
Ink Velvet 22,Peripera,lipstick,Powder Matte,#B0483E,Bouquet Nude
Ink Velvet 23,Peripera,lipstick,Powder Matte,#9D3C35,Nutty Nude
Last Velvet Lip Tint 24,BBIA,lipstick,Powder Matte,#A9453C,Trendy Note
Last Velvet Lip Tint 25,BBIA,lipstick,Powder Matte,#963730,Final Note
L'Eau Tint 01,BBIA,lipstick,Water Stain,#C76865,Gardenia L'Eau
L'Eau Tint 02,BBIA,lipstick,Water Stain,#B95958,Fleur L'Eau
Bite the Beat Mellow Tint M02,Merzy,lipstick,Lip Clay / Mud,#A24036,Jane Chili
The Watery Dew Tint WD14,Merzy,lipstick,Water Stain,#B8544D,With Zenia
The Watery Dew Tint WD16,Merzy,lipstick,Water Stain,#A64641,Pistachio Rose
Objet Liquid 001,Muzigae Mansion,lipstick,Lip Clay / Mud,#B95B56,Barely
Objet Liquid 003,Muzigae Mansion,lipstick,Lip Clay / Mud,#A64743,Stranger
Objet Liquid 008,Muzigae Mansion,lipstick,Lip Clay / Mud,#933936,Dominant
Jel-Fit Tint 01,Amuse,lipstick,Juicy Tint,#C86B6D,Peach Jelly
Jel-Fit Tint 06,Amuse,lipstick,Juicy Tint,#B75860,Seoul Girl
Jel-Fit Tint 07,Amuse,lipstick,Juicy Tint,#A54A53,Caramel
Fluffmatte,Sunnies Face,lipstick,Powder Matte,#B85C52,Nudist
Fluffmatte,Sunnies Face,lipstick,Powder Matte,#A64A40,Baked
Fluffmatte,Sunnies Face,lipstick,Powder Matte,#B24F58,Girl Crush
Unicorn Embossed Lip 01,Flower Knows,lipstick,Dewy Balm,#C96C72,Little Rose
